533498,181201,100000,TQ3349881201,51.513969,-0.077530670
532301,181746,100001,TQ3230181746,51.519148,-0.094566147
532160,181151,100002,TQ3216081151,51.513834,-0.096820041
531981,180844,100003,TQ3198180844,51.511117,-0.099512928
528515,184869,100004,TQ2851584869,51.548087,-0.14796310
530464,182403,100005,TQ3046482403,51.525479,-0.12078398
527663,185479,100006,TQ2766385479,51.553762,-0.16002255
529082,182617,100007,TQ2908282617,51.527719,-0.14061550
530238,182761,100008,TQ3023882761,51.528748,-0.12390759
524888,185067,100009,TQ2488885067,51.550680,-0.20017295
529912,184835,100010,TQ2991284835,51.547461,-0.12783976
528706,186594,100011,TQ2870686594,51.563545,-0.14457933
528386,185209,100012,TQ2838685209,51.551171,-0.14969852
529725,183195,100013,TQ2972583195,51.532766,-0.13113894
527677,185424,100014,TQ2767785424,51.553264,-0.15984068
528886,184273,100015,TQ2888684273,51.542646,-0.14283370
525140,184253,100016,TQ2514084253,51.543308,-0.19682961
525140,184253,100017,TQ2514084253,51.543308,-0.19682961
529095,182598,100018,TQ2909582598,51.527546,-0.14043517
526483,185916,100019,TQ2648385916,51.557954,-0.17687616
528304,183909,100020,TQ2830483909,51.539507,-0.15135410
528334,184823,100021,TQ2833484823,51.547714,-0.15058877
529342,183487,100022,TQ2934283487,51.535478,-0.13655037
529559,185072,100023,TQ2955985072,51.549672,-0.13284052
529559,185072,100024,TQ2955985072,51.549672,-0.13284052
528230,185638,100025,TQ2823085638,51.555062,-0.15179097
526566,185411,100026,TQ2656685411,51.553397,-0.17586112
529117,185613,100027,TQ2911785613,51.554635,-0.13901319
526518,186095,100028,TQ2651886095,51.559555,-0.17630721
528821,182991,100029,TQ2882182991,51.531140,-0.14423915
525336,185264,100030,TQ2533685264,51.552351,-0.19364491
526301,185733,100031,TQ2630185733,51.556351,-0.17956576
526445,184601,100032,TQ2644584601,51.546145,-0.17789629
528675,184432,100033,TQ2867584432,51.544123,-0.14581656
529113,185066,100034,TQ2911385066,51.549721,-0.13927146
527199,185281,100035,TQ2719985281,51.552087,-0.16678299
531156,181834,100036,TQ3115681834,51.520205,-0.11102638
529505,183062,100037,TQ2950583062,51.531622,-0.13435775
529641,182910,100038,TQ2964182910,51.530224,-0.13245410
527842,185252,100039,TQ2784285252,51.551681,-0.15752458
530763,182065,100040,TQ3076382065,51.522372,-0.11660180
530415,181368,100041,TQ3041581368,51.516189,-0.12187259
525389,183932,100042,TQ2538983932,51.540368,-0.19335511
529495,183146,100043,TQ2949583146,51.532379,-0.13447098
529204,183886,100044,TQ2920483886,51.539095,-0.13839261
528861,185010,100045,TQ2886185010,51.549275,-0.14292434
527498,184129,100046,TQ2749884129,51.541667,-0.16288990
525360,183998,100047,TQ2536083998,51.540968,-0.19374957
529268,183862,100048,TQ2926883862,51.538865,-0.13747912
528159,184498,100049,TQ2815984498,51.544833,-0.15322943
528369,186019,100050,TQ2836986019,51.558454,-0.14964819
529555,183356,100051,TQ2955583356,51.534252,-0.13352926
524402,185633,100052,TQ2440285633,51.555873,-0.20697868
528962,185931,100053,TQ2896285931,51.557528,-0.14113113
529441,184659,100054,TQ2944184659,51.545988,-0.13469320
529642,182873,100055,TQ2964282873,51.529892,-0.13245330
528267,186049,100056,TQ2826786049,51.558747,-0.15110780
529066,184477,100057,TQ2906684477,51.544438,-0.14016479
528379,186191,100059,TQ2837986191,51.559998,-0.14944127
530533,182041,100060,TQ3053382041,51.522210,-0.11992393
526978,185153,100061,TQ2697885153,51.550986,-0.17001492
525551,185876,100062,TQ2555185876,51.557803,-0.19032730
527291,184479,100063,TQ2729184479,51.544859,-0.16574669
526932,184533,100064,TQ2693284533,51.545425,-0.17090148
526202,185414,100065,TQ2620285414,51.553506,-0.18110737
528739,183866,100066,TQ2873983866,51.539022,-0.14510100
526543,185092,100067,TQ2654385092,51.550536,-0.17630734
526368,184811,100068,TQ2636884811,51.548050,-0.17893077
527001,184495,100069,TQ2700184495,51.545068,-0.16992068
526536,185454,100070,TQ2653685454,51.553791,-0.17627814
526549,184913,100071,TQ2654984913,51.548926,-0.17628518
526875,185297,100072,TQ2687585297,51.552304,-0.17144776
527085,185400,100073,TQ2708585400,51.553182,-0.16838337
526640,185531,100074,TQ2664085531,51.554459,-0.17475119
526981,184414,100075,TQ2698184414,51.544344,-0.17023814
526491,184607,100076,TQ2649184607,51.546189,-0.17723112
527781,184808,100077,TQ2778184808,51.547705,-0.15856502
526506,185985,100078,TQ2650685985,51.558569,-0.17651977
526681,185700,100079,TQ2668185700,51.555969,-0.17409931
526456,185413,100080,TQ2645685413,51.553440,-0.17744613
526211,184422,100081,TQ2621184422,51.544589,-0.18133318
528672,184981,100082,TQ2867284981,51.549057,-0.14565922
526640,185531,100083,TQ2664085531,51.554459,-0.17475119
527535,184578,100084,TQ2753584578,51.545694,-0.16219410
530372,181878,100085,TQ3037281878,51.520782,-0.12230345
525526,184221,100086,TQ2552684221,51.542935,-0.19127773
524350,185100,100087,TQ2435085100,51.551095,-0.20791661
526485,184553,100088,TQ2648584553,51.545705,-0.17733699
525479,184878,100089,TQ2547984878,51.548850,-0.19172105
526368,184950,100090,TQ2636884950,51.549299,-0.17888089
530000,183795,100091,TQ3000083795,51.538095,-0.12695519
528612,184451,100092,TQ2861284451,51.544308,-0.14671761
526234,183905,100093,TQ2623483905,51.539938,-0.18118694
527297,185410,100094,TQ2729785410,51.553224,-0.16532365
490670,193438,100095,SU9067093438,51.632456,-0.69136400
526914,184029,100096,TQ2691484029,51.540900,-0.17134250
537362,177674,100097,TQ3736277674,51.481349,-0.023252896
541837,178429,100098,TQ4183778429,51.487030,0.041450912
546762,178508,100099,TQ4676278508,51.486485,0.11236629
543130,177700,100100,TQ4313077700,51.480154,0.059765568
543058,179008,100101,TQ4305879008,51.491926,0.059258942
539393,178453,100102,TQ3939378453,51.487853,0.0062834693
541731,175472,100103,TQ4173175472,51.460486,0.038740174
541763,175533,100104,TQ4176375533,51.461026,0.039224915
543979,177956,100105,TQ4397977956,51.482239,0.072087373
541639,174217,100106,TQ4163974217,51.449232,0.036914693
539778,178137,100107,TQ3977878137,51.484919,0.011699959
543070,172575,100108,TQ4307072575,51.434118,0.056830738
546854,178507,100109,TQ4685478507,51.486452,0.11368995
546803,178377,100110,TQ4680378377,51.485297,0.11290195
539725,179099,100111,TQ3972579099,51.493576,0.011317579
